date,open,high,low,close,volume,adjusted_close,change_percent,avg_vol_20d
1981-01-22,32.8832,33.1296,32.8832,32.8832,158700,0.1136,1.16,36627360.0
1981-01-23,32.8832,32.9952,32.7488,32.7488,50100,0.1131,-0.44,34788320.0
1981-01-26,32.368,32.368,32.256,32.256,110000,0.1114,-1.5,33241600.0
1981-01-27,32.256,32.256,32.0096,32.0096,105800,0.1106,-0.72,29768480.0
1981-01-28,31.136,31.136,31.0016,31.0016,125700,0.1071,-3.16,27732320.0
1981-01-29,29.9936,29.9936,29.8816,29.8816,196000,0.1032,-3.64,28140000.0
1981-01-30,28.4928,28.4928,28.2464,28.2464,206200,0.0976,-5.43,29366400.0
1981-02-02,26.7456,26.7456,26.6336,26.6336,106100,0.092,-5.74,28768320.0
1981-02-03,27.6192,27.7536,27.6192,27.6192,85500,0.0954,3.7,27468000.0
1981-02-04,28.6272,28.7392,28.6272,28.6272,124400,0.0989,3.67,26076960.0
1981-02-05,28.6272,28.8736,28.6272,28.6272,35400,0.0989,0.0,24482080.0
1981-02-06,28.7392,28.8736,28.7392,28.7392,61900,0.0993,0.4,24100160.0
1981-02-09,27.5072,27.5072,27.2608,27.2608,74800,0.0942,-5.14,23752960.0
1981-02-10,27.2608,27.3728,27.2608,27.2608,81900,0.0942,0.0,23517760.0
1981-02-11,26.4992,26.4992,26.3648,26.3648,61800,0.0911,-3.29,23495360.0
1981-02-12,26.2528,26.2528,26.1184,26.1184,65000,0.0902,-0.99,23520000.0
1981-02-13,25.76,25.76,25.4912,25.4912,49800,0.0881,-2.33,23408000.0
1981-02-17,26.1184,26.2528,26.1184,26.1184,54800,0.0902,2.38,21943040.0
1981-02-18,27.2608,27.5072,27.2608,27.2608,85900,0.0942,4.43,21400960.0
1981-02-19,25.76,25.76,25.6256,25.6256,99600,0.0885,-6.05,21721280.0
1981-02-20,24.3712,24.3712,24.2592,24.2592,108800,0.0838,-5.31,21162400.0
1981-02-23,24.6176,24.752,24.6176,24.6176,63000,0.0851,1.55,21306880.0
1981-02-24,23.9904,23.9904,23.744,23.744,75800,0.082,-3.64,20923840.0
1981-02-25,25.2448,25.3792,25.2448,25.2448,87000,0.0872,6.34,20713280.0
1981-02-26,25.6256,25.76,25.6256,25.6256,48400,0.0885,1.49,19847520.0
1981-02-27,26.4992,26.7456,26.4992,26.4992,65900,0.0916,3.5,18390400.0
1981-03-02,26.6336,26.7456,26.6336,26.6336,52500,0.092,0.44,16668960.0
1981-03-03,26.3648,26.3648,26.2528,26.2528,72200,0.0907,-1.41,16289280.0
1981-03-04,26.1184,26.1184,26.0064,26.0064,61200,0.0899,-0.88,16017120.0
1981-03-05,26.0064,26.0064,25.872,25.872,24000,0.0894,-0.56,14892640.0
1981-03-06,25.872,25.872,25.6256,25.6256,51800,0.0885,-1.01,15076320.0
1981-03-09,23.744,23.744,23.632,23.632,68400,0.0817,-7.68,15149120.0
1981-03-10,22.624,22.624,22.4896,22.4896,126700,0.0777,-4.9,15730400.0
1981-03-11,21.8848,21.8848,21.616,21.616,133300,0.0747,-3.86,16306080.0
1981-03-12,22.4896,22.624,22.4896,22.4896,264500,0.0777,4.02,18576320.0
1981-03-13,22.3776,22.3776,22.2432,22.2432,1032600,0.0769,-1.03,29413440.0
1981-03-16,23.1168,23.3856,23.1168,23.1168,166200,0.0799,3.9,30717120.0
1981-03-17,24.2592,24.5056,24.2592,24.2592,195300,0.0838,4.88,32290720.0
1981-03-18,25.76,26.0064,25.76,25.76,164900,0.089,6.21,33175520.0
1981-03-19,25.6256,25.6256,25.4912,25.4912,168800,0.0881,-1.01,33950560.0
1981-03-20,25.76,26.0064,25.76,25.76,65200,0.089,1.02,33462240.0
1981-03-23,26.7456,26.992,26.7456,26.7456,98300,0.0924,3.82,33857600.0
1981-03-24,26.7456,26.7456,26.6336,26.6336,125700,0.092,-0.43,34416480.0
1981-03-25,26.3648,26.3648,26.1184,26.1184,31500,0.0902,-1.96,33794880.0
1981-03-26,25.76,25.76,25.6256,25.6256,54800,0.0885,-1.88,33866560.0
1981-03-27,24.864,24.864,24.752,24.752,54700,0.0855,-3.39,33741120.0
1981-03-30,24.752,24.9984,24.752,24.752,44200,0.0855,0.0,33648160.0
1981-03-31,24.752,24.752,24.5056,24.5056,71400,0.0847,-0.94,33639200.0
1981-04-01,24.3712,24.3712,24.2592,24.2592,152100,0.0838,-1.06,34657280.0
1981-04-02,26.3648,26.4992,26.3648,26.3648,140200,0.0911,8.71,35958720.0
1981-04-03,26.4992,26.6336,26.4992,26.4992,73600,0.0916,0.55,36202880.0
1981-04-06,26.1184,26.1184,26.0064,26.0064,101800,0.0899,-1.86,36576960.0
1981-04-07,25.872,25.872,25.76,25.76,47700,0.089,-1.0,35692160.0
1981-04-08,26.992,27.2608,26.992,26.992,98000,0.0933,4.83,35296800.0
1981-04-09,27.5072,27.6192,27.5072,27.5072,55800,0.095,1.82,32959360.0
1981-04-10,27.8656,28.0,27.8656,27.8656,149400,0.0963,1.37,23067520.0
1981-04-13,27.8656,28.0,27.8656,27.8656,71700,0.0963,0.0,22009120.0
1981-04-14,27.8656,28.0,27.8656,27.8656,29700,0.0963,0.0,20154400.0
1981-04-15,26.6336,26.6336,26.4992,26.4992,152000,0.0916,-4.88,20009920.0
1981-04-16,25.1328,25.1328,24.9984,24.9984,106600,0.0864,-5.68,19313280.0
1981-04-20,25.76,25.872,25.76,25.76,157800,0.089,3.01,20350400.0
1981-04-21,27.5072,27.6192,27.5072,27.5072,127400,0.095,6.74,20676320.0
1981-04-22,28.4928,28.6272,28.4928,28.4928,84800,0.0984,3.58,20218240.0
1981-04-23,29.2544,29.3664,29.2544,29.2544,259000,0.1011,2.74,22766240.0
1981-04-24,29.2544,29.2544,29.008,29.008,156499,0.1002,-0.89,23905280.0
1981-04-27,28.8736,28.8736,28.7392,28.7392,172000,0.0993,-0.9,25219040.0
1981-04-28,28.3808,28.3808,28.2464,28.2464,143700,0.0976,-1.71,26333440.0
1981-04-29,28.0,28.0,27.8656,27.8656,60900,0.0963,-1.33,26215840.0
1981-04-30,28.3808,28.6272,28.3808,28.3808,56300,0.0981,1.87,25142880.0
1981-05-01,28.3808,28.6272,28.3808,28.3808,73900,0.0981,0.0,24400320.0
1981-05-04,28.3808,28.3808,28.2464,28.2464,64500,0.0976,-0.51,24298400.0
1981-05-05,28.2464,28.2464,28.1344,28.1344,78300,0.0972,-0.41,24035200.0
1981-05-06,27.5072,27.5072,27.3728,27.3728,84600,0.0946,-2.67,24448480.0
1981-05-07,27.7536,27.8656,27.7536,27.7536,41800,0.0959,1.37,23819040.0
1981-05-08,28.0,28.1344,28.0,28.0,35300,0.0967,0.83,23589440.0
1981-05-11,27.5072,27.5072,27.3728,27.3728,53300,0.0946,-2.17,22513120.0
1981-05-12,27.3728,27.7536,27.3728,27.3728,19000,0.0946,0.0,21922880.0
1981-05-13,27.3728,27.6192,27.2608,27.2608,21900,0.0942,-0.42,21835520.0
1981-05-14,27.1264,27.1264,26.88,26.88,22000,0.0929,-1.38,20379520.0
1981-05-15,27.5072,27.8656,27.5072,27.5072,21900,0.095,2.26,19430880.0
1981-05-18,28.0,28.2464,28.0,28.0,18600,0.0967,1.79,17871840.0
1981-05-19,27.6192,27.6192,27.5072,27.5072,113500,0.095,-1.76,17716160.0
1981-05-20,28.3808,28.6272,28.3808,28.3808,59300,0.0981,3.26,17430560.0
1981-05-21,29.9936,30.128,29.9936,29.9936,143800,0.1036,5.61,16140320.0
1981-05-22,31.3824,31.6288,31.3824,31.3824,140300,0.1084,4.63,15958880.0
1981-05-26,31.3824,31.3824,31.248,31.248,381000,0.108,-0.37,18299680.0
1981-05-27,32.9952,33.1296,32.9952,32.9952,667400,0.114,5.56,24165120.0
1981-05-28,32.9952,33.1296,32.9952,32.9952,330300,0.114,0.0,27182400.0
1981-05-29,33.1296,33.2416,33.1296,33.1296,265100,0.1145,0.44,29520960.0
1981-06-01,33.1296,33.2416,33.1296,33.1296,228800,0.1145,0.0,31255840.0
1981-06-02,31.6288,31.6288,31.4944,31.4944,180500,0.1088,-4.98,32555040.0
1981-06-03,31.4944,31.7408,31.4944,31.4944,176100,0.1088,0.0,33650400.0
1981-06-04,32.1216,32.256,32.1216,32.1216,250300,0.111,2.02,35506240.0
1981-06-05,31.7408,31.7408,31.6288,31.6288,257500,0.1093,-1.53,37922080.0
1981-06-08,30.6208,30.6208,30.5088,30.5088,417400,0.1054,-3.57,42201600.0
1981-06-09,31.136,31.248,31.136,31.136,533900,0.1076,2.09,47584320.0
1981-06-10,31.4944,31.8752,31.4944,31.4944,112600,0.1088,1.12,48632640.0
